symbol,trades,wins,losses,timeouts,win_rate_%,pnl_acumulado_%
BTC/USDT,66,44,19,3,66.7,37.0
ETH/USDT,87,56,30,1,64.4,18.0
XRP/USDT,80,54,26,0,67.5,32.0
BNB/USDT,72,40,29,3,55.6,-25.0
SOL/USDT,100,67,33,0,67.0,36.0
DOGE/USDT,95,60,35,0,63.2,5.0
ADA/USDT,103,66,36,1,64.1,18.0
TRX/USDT,38,18,10,10,47.4,4.0
LINK/USDT,101,66,35,0,65.3,23.0
AVAX/USDT,106,64,41,1,60.4,-13.0
