symbol,trades,wins,losses,timeouts,win_rate_%,pnl_acumulado_%
BTC/USDT,58,34,21,3,58.6,-3.0
ETH/USDT,66,46,19,1,69.7,43.0
XRP/USDT,71,49,22,0,69.0,37.0
BNB/USDT,57,39,16,2,68.4,37.0
SOL/USDT,77,49,28,0,63.6,7.0
DOGE/USDT,79,54,24,1,68.4,42.0
ADA/USDT,80,42,37,1,52.5,-59.0
TRX/USDT,38,19,10,9,50.0,7.0
LINK/USDT,84,50,34,0,59.5,-20.0
AVAX/USDT,80,43,37,0,53.8,-56.0
