symbol,direccion,resultado,entrada_ts,salida_ts,horas_hasta_salida,pnl_neto_cop
DOGE/USDT,LARGO,TP,2024-09-21 10:00:00+00:00,2024-09-21 14:00:00+00:00,4.0,13985
XRP/USDT,LARGO,TP,2024-09-21 14:00:00+00:00,2024-09-21 16:00:00+00:00,2.0,13985
ETH/USDT,LARGO,TP,2024-09-22 22:00:00+00:00,2024-09-23 03:00:00+00:00,5.0,13985
SOL/USDT,LARGO,SL,2024-09-23 06:00:00+00:00,2024-09-23 21:00:00+00:00,15.0,-15985
SOL/USDT,LARGO,TP,2024-09-24 06:00:00+00:00,2024-09-24 22:00:00+00:00,16.0,13985
ETH/USDT,LARGO,SL,2024-09-24 22:00:00+00:00,2024-09-25 17:00:00+00:00,19.0,-15985
XRP/USDT,LARGO,SL,2024-09-24 22:00:00+00:00,2024-09-26 00:00:00+00:00,26.0,-15985
DOGE/USDT,LARGO,TP,2024-09-23 06:00:00+00:00,2024-09-26 06:00:00+00:00,72.0,13985
SOL/USDT,LARGO,TP,2024-09-26 06:00:00+00:00,2024-09-26 14:00:00+00:00,8.0,13985
DOGE/USDT,LARGO,TP,2024-09-26 06:00:00+00:00,2024-09-26 15:00:00+00:00,9.0,13985
ETH/USDT,LARGO,TP,2024-09-26 10:00:00+00:00,2024-09-27 16:00:00+00:00,30.0,13985
XRP/USDT,LARGO,TP,2024-09-26 10:00:00+00:00,2024-09-28 07:00:00+00:00,45.0,13985
SOL/USDT,LARGO,SL,2024-09-29 02:00:00+00:00,2024-09-30 23:00:00+00:00,45.0,-15985
ETH/USDT,LARGO,SL,2024-10-01 06:00:00+00:00,2024-10-01 13:00:00+00:00,7.0,-15985
SOL/USDT,LARGO,SL,2024-10-01 10:00:00+00:00,2024-10-01 14:00:00+00:00,4.0,-15985
SOL/USDT,CORTO,TP,2024-10-01 14:00:00+00:00,2024-10-01 15:00:00+00:00,1.0,14492
ETH/USDT,CORTO,TP,2024-10-01 14:00:00+00:00,2024-10-01 17:00:00+00:00,3.0,14492
SOL/USDT,CORTO,SL,2024-10-05 22:00:00+00:00,2024-10-07 00:00:00+00:00,26.0,-15492
ETH/USDT,CORTO,SL,2024-10-05 22:00:00+00:00,2024-10-07 01:00:00+00:00,27.0,-15492
