symbol,trades,wins,losses,timeouts,win_rate_%,pnl_acumulado_%
BTC/USDT,18,12,5,1,66.7,11.0
ETH/USDT,33,18,15,0,54.5,-21.0
XRP/USDT,43,23,20,0,53.5,-31.0
BNB/USDT,14,4,10,0,28.6,-38.0
SOL/USDT,51,27,23,1,52.9,-34.0
DOGE/USDT,48,30,18,0,62.5,0.0
ADA/USDT,55,29,26,0,52.7,-43.0
TRX/USDT,29,14,6,9,48.3,12.0
LINK/USDT,43,29,13,1,67.4,22.0
AVAX/USDT,60,43,17,0,71.7,44.0
