ts,precio,direccion,ganancia_%_lograda
2025-02-03 01:00:00+00:00,2.0976,LARGO,31.3
2025-02-03 03:00:00+00:00,2.2589,CORTO,5.3
2025-02-03 04:00:00+00:00,2.1389,LARGO,28.8
2025-02-04 01:00:00+00:00,2.7543,CORTO,16.7
2025-02-04 07:00:00+00:00,2.486,LARGO,7.0
2025-02-04 14:00:00+00:00,2.6591,CORTO,13.9
2025-02-05 11:00:00+00:00,2.5496,CORTO,10.2
2025-02-05 18:00:00+00:00,2.3671,LARGO,7.0
2025-02-06 06:00:00+00:00,2.4646,CORTO,7.1
2025-02-07 07:00:00+00:00,2.2889,LARGO,10.6
2025-02-07 14:00:00+00:00,2.5325,CORTO,7.8
2025-02-07 20:00:00+00:00,2.3579,LARGO,6.2
2025-02-09 03:00:00+00:00,2.5038,CORTO,6.7
2025-02-09 21:00:00+00:00,2.3356,LARGO,8.0
2025-02-11 06:00:00+00:00,2.5224,CORTO,5.3
2025-02-11 19:00:00+00:00,2.3875,LARGO,16.8
2025-02-15 02:00:00+00:00,2.8237,CORTO,7.3
2025-02-18 16:00:00+00:00,2.4909,LARGO,9.9
2025-02-19 23:00:00+00:00,2.7378,CORTO,7.7
2025-02-25 10:00:00+00:00,2.1297,LARGO,9.5
2025-02-25 12:00:00+00:00,2.2732,CORTO,12.0
2025-02-25 14:00:00+00:00,2.1744,LARGO,7.3
2025-02-25 22:00:00+00:00,2.3329,CORTO,14.3
2025-02-27 10:00:00+00:00,2.2565,CORTO,11.4
2025-02-28 07:00:00+00:00,2.0003,LARGO,47.0
2025-03-02 23:00:00+00:00,2.9396,CORTO,22.3
2025-03-03 13:00:00+00:00,2.6934,CORTO,15.2
2025-03-04 01:00:00+00:00,2.2827,LARGO,15.3
2025-03-06 10:00:00+00:00,2.6313,CORTO,14.5
2025-03-07 00:00:00+00:00,2.4086,LARGO,5.5
2025-03-07 10:00:00+00:00,2.5411,CORTO,17.2
2025-03-09 17:00:00+00:00,2.1048,LARGO,7.0
2025-03-10 11:00:00+00:00,2.2138,CORTO,11.7
2025-03-11 00:00:00+00:00,1.9545,LARGO,18.7
2025-03-13 20:00:00+00:00,2.2213,LARGO,11.0
2025-03-15 04:00:00+00:00,2.4652,CORTO,7.7
2025-03-16 13:00:00+00:00,2.2754,LARGO,10.9
2025-03-17 18:00:00+00:00,2.3738,CORTO,6.1
2025-03-18 17:00:00+00:00,2.2293,LARGO,14.6
2025-03-19 15:00:00+00:00,2.5548,CORTO,7.3
2025-03-24 18:00:00+00:00,2.4742,CORTO,6.2
2025-03-29 10:00:00+00:00,2.0722,LARGO,6.0
2025-03-30 08:00:00+00:00,2.1965,CORTO,6.9
2025-03-31 09:00:00+00:00,2.0442,LARGO,7.0
2025-04-01 09:00:00+00:00,2.1863,CORTO,10.0
2025-04-02 15:00:00+00:00,2.1727,CORTO,9.4
2025-04-03 14:00:00+00:00,1.9687,LARGO,9.7
2025-04-05 11:00:00+00:00,2.1605,CORTO,23.4
2025-04-07 06:00:00+00:00,1.6548,LARGO,25.6
2025-04-08 11:00:00+00:00,1.9596,CORTO,10.8
2025-04-09 03:00:00+00:00,1.7476,LARGO,18.9
2025-04-09 21:00:00+00:00,2.0784,CORTO,7.0
2025-04-10 15:00:00+00:00,1.9338,LARGO,15.3
2025-04-13 09:00:00+00:00,2.2299,CORTO,8.0
2025-04-20 11:00:00+00:00,2.0432,LARGO,12.1
2025-04-23 08:00:00+00:00,2.2914,CORTO,6.9
2025-04-28 07:00:00+00:00,2.3355,CORTO,8.9
2025-04-30 13:00:00+00:00,2.1274,LARGO,5.5
2025-05-06 13:00:00+00:00,2.0854,LARGO,15.3
2025-05-10 23:00:00+00:00,2.4711,CORTO,5.0
2025-05-11 13:00:00+00:00,2.3467,LARGO,12.0
2025-05-12 13:00:00+00:00,2.6037,CORTO,6.7
2025-05-13 03:00:00+00:00,2.43,LARGO,8.2
2025-05-14 09:00:00+00:00,2.6282,CORTO,11.4
2025-05-17 16:00:00+00:00,2.3156,LARGO,5.3
2025-05-18 15:00:00+00:00,2.4378,CORTO,6.3
2025-05-19 06:00:00+00:00,2.2851,LARGO,5.9
2025-05-23 03:00:00+00:00,2.4734,CORTO,7.7
2025-05-31 02:00:00+00:00,2.1012,LARGO,5.6
2025-06-03 19:00:00+00:00,2.2814,CORTO,9.7
2025-06-05 20:00:00+00:00,2.0601,LARGO,11.1
2025-06-11 14:00:00+00:00,2.3273,CORTO,9.7
2025-06-16 19:00:00+00:00,2.3357,CORTO,8.8
2025-06-22 15:00:00+00:00,1.9343,LARGO,15.0
2025-06-25 13:00:00+00:00,2.2237,CORTO,6.8
2025-06-27 14:00:00+00:00,2.0719,LARGO,6.8
2025-06-30 19:00:00+00:00,2.3197,CORTO,7.0
2025-07-01 19:00:00+00:00,2.1574,LARGO,6.7
2025-07-05 18:00:00+00:00,2.2045,LARGO,6.3
2025-07-11 19:00:00+00:00,2.858,CORTO,6.2
2025-07-11 22:00:00+00:00,2.7014,LARGO,11.5
2025-07-12 10:00:00+00:00,2.8367,CORTO,5.5
2025-07-12 15:00:00+00:00,2.6812,LARGO,12.3
2025-07-14 14:00:00+00:00,3.0118,CORTO,5.4
2025-07-15 03:00:00+00:00,2.8497,LARGO,28.2
2025-07-18 00:00:00+00:00,3.6535,CORTO,8.0
2025-07-19 14:00:00+00:00,3.3608,LARGO,8.3
2025-07-21 14:00:00+00:00,3.64,CORTO,17.2
2025-07-24 06:00:00+00:00,3.0126,LARGO,7.6
2025-07-24 14:00:00+00:00,3.243,CORTO,7.3
2025-07-25 14:00:00+00:00,3.0057,LARGO,10.4
2025-07-28 05:00:00+00:00,3.3192,CORTO,8.1
2025-08-01 14:00:00+00:00,3.0531,CORTO,9.6
2025-08-02 18:00:00+00:00,2.7605,LARGO,11.9
2025-08-05 00:00:00+00:00,3.0903,CORTO,5.8
2025-08-06 04:00:00+00:00,2.9112,LARGO,16.0
2025-08-08 03:00:00+00:00,3.3762,CORTO,6.3
2025-08-11 08:00:00+00:00,3.2993,CORTO,5.2
2025-08-12 09:00:00+00:00,3.1281,LARGO,7.1
2025-08-14 02:00:00+00:00,3.3489,CORTO,9.6
2025-08-18 19:00:00+00:00,3.0822,CORTO,7.9
2025-08-20 13:00:00+00:00,2.8388,LARGO,8.9
2025-08-20 19:00:00+00:00,2.989,CORTO,6.1
2025-08-22 11:00:00+00:00,2.8056,LARGO,10.8
2025-08-24 18:00:00+00:00,3.1099,CORTO,9.1
2025-08-25 20:00:00+00:00,2.8258,LARGO,8.3
2025-08-26 19:00:00+00:00,3.0607,CORTO,8.2
2025-09-01 04:00:00+00:00,2.7189,LARGO,5.7
2025-09-13 09:00:00+00:00,3.1799,CORTO,6.9
2025-09-18 11:00:00+00:00,3.1368,CORTO,5.4
2025-09-22 09:00:00+00:00,2.8007,LARGO,6.3
