symbol,trades,wins,losses,timeouts,win_rate_%,pnl_acumulado_%
BTC/USDT,9,6,3,0,66.7,3.0
ETH/USDT,16,10,6,0,62.5,0.0
XRP/USDT,20,13,7,0,65.0,4.0
BNB/USDT,8,2,6,0,25.0,-24.0
SOL/USDT,23,12,10,1,52.2,-14.0
DOGE/USDT,21,16,5,0,76.2,23.0
ADA/USDT,34,19,15,0,55.9,-18.0
TRX/USDT,14,7,3,4,50.0,6.0
LINK/USDT,23,15,7,1,65.2,10.0
AVAX/USDT,23,16,7,0,69.6,13.0
