symbol,trades,wins,losses,timeouts,win_rate_%,pnl_acumulado_%
BTC/USDT,30,19,10,1,63.3,7.0
ETH/USDT,34,17,17,0,50.0,-34.0
XRP/USDT,38,24,14,0,63.2,2.0
BNB/USDT,25,15,10,0,60.0,-5.0
SOL/USDT,41,28,13,0,68.3,19.0
DOGE/USDT,41,34,6,1,82.9,72.0
ADA/USDT,43,22,21,0,51.2,-39.0
TRX/USDT,16,6,5,5,37.5,-7.0
LINK/USDT,42,26,15,1,61.9,3.0
AVAX/USDT,37,23,14,0,62.2,-1.0
