condición,veces_activada,%_del_tiempo_activa,precisión_%,falsos_positivos_%,lift_vs_azar
RSI < 30 Y MFI < 20 Y Bollinger %B < 0,172,1.0,61.6,38.4,1.73
MFI < 20 Y Bollinger %B < 0,220,1.3,59.1,40.9,1.65
RSI < 30 Y MFI < 20,362,2.1,56.1,43.9,1.57
RSI < 30 Y Bollinger %B < 0,366,2.1,51.9,48.1,1.45
RSI < 30 (solo),724,4.2,50.4,49.6,1.41
MFI < 20 (solo),836,4.8,46.3,53.7,1.3
RSI < 30 O MFI < 20 (unión),1198,6.9,45.8,54.2,1.28
Bollinger %B < 0 (solo),1005,5.8,43.4,56.6,1.21
